,ID,prepost,Start time,I think about climate change,I think the world's climate is changing,I'm worried about the effects of climate change on my community,I think it's too late to do anything about climate change,I know about the history of flooding in my community,I know what the government and local authority are doing to help my community to cope with climate change,I understand the difference between climate change mitigation and climate change adaptation,I think technology is the most important tool we have to help us to adapt to climate change,I think interactive maps are a useful tool for talking about and demonstrating the effects of climate change,Games are a good way to help us to imagine the effects of climate change,Imagining what our lives will be like in the future is a good way to discuss adaptation to climate change,I think that changing my own behaviour can help to limit the effects of climate change,deis
320,26,post,2022-10-21 11:59:00,Sometimes,Definitely changing,Extremely worried,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,False
321,28,post,2022-10-21 11:59:19,Sometimes,Probably changing,A little worried,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly agree,False
322,29,post,2022-10-21 12:00:13,Never,Definitely changing,Neutral,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,False
323,31,post,2022-10-21 12:00:32,Sometimes,Definitely changing,A little worried,Strongly disagree,Neutral,Neutral,Agree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,False
324,30,post,2022-10-21 12:00:42,Often,Definitely changing,A little worried,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,False
325,36,post,2022-10-21 12:01:14,Rarely,Probably changing,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,False
326,32,post,2022-10-21 12:01:32,Sometimes,Definitely changing,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,False
327,34,post,2022-10-21 12:01:32,Rarely,Probably changing,Neutral,Disagree,Neutral,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,False
328,38,post,2022-10-21 12:01:34,Often,Probably changing,A little worried,Disagree,Neutral,Agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,False
329,37,post,2022-10-21 12:02:10,Very often,Definitely changing,Extremely worried,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,False
330,35,post,2022-10-21 12:02:34,Very often,Definitely changing,Very worried,Neutral,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,False
331,33,post,2022-10-21 12:02:41,All the time,Definitely changing,A little worried,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,False
332,39,post,2022-10-21 12:03:25,Often,Definitely changing,Very worried,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,False
333,469,pre,2022-10-25 09:05:29,Never,Maybe changing,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,False
334,470,pre,2022-10-25 09:43:44,All the time,Definitely changing,Extremely worried,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,False
335,479,pre,2022-10-25 09:44:15,Often,Definitely changing,A little worried,Strongly disagree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Strongly agree,False
336,471,pre,2022-10-25 09:44:18,Often,Definitely changing,Very worried,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,False
337,473,pre,2022-10-25 09:44:25,Often,Definitely changing,A little worried,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Strongly agree,False
338,472,pre,2022-10-25 09:44:26,Often,Definitely changing,Very worried,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Strongly agree,False
339,476,pre,2022-10-25 09:44:38,Sometimes,Definitely not changing,A little worried,Neutral,Disagree,Disagree,Strongly disagree,Agree,Disagree,Neutral,Strongly agree,Agree,False
340,474,pre,2022-10-25 09:44:54,Sometimes,Definitely changing,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Neutral,False
341,475,pre,2022-10-25 09:45:01,Often,Definitely changing,Very worried,Disagree,Neutral,Strongly disagree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,False
342,478,pre,2022-10-25 09:45:02,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,False
343,482,pre,2022-10-25 09:45:32,Often,Probably changing,Very worried,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Strongly agree,False
344,477,pre,2022-10-25 09:45:44,Often,Definitely changing,Extremely worried,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,False
345,485,pre,2022-10-25 09:47:07,Sometimes,Definitely changing,Very worried,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,False
346,481,pre,2022-10-25 09:47:15,Rarely,Definitely changing,Neutral,Agree,Strongly disagree,Neutral,Disagree,Agree,Neutral,Strongly disagree,Neutral,Agree,False
347,484,pre,2022-10-25 09:47:36,Very often,Definitely changing,Very worried,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly agree,Strongly agree,False
348,486,pre,2022-10-25 09:47:39,Sometimes,Definitely changing,Very worried,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,False
349,483,pre,2022-10-25 09:47:42,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Neutral,Agree,False
350,480,pre,2022-10-25 09:48:03,Often,Maybe changing,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,False
351,487,pre,2022-10-25 09:54:34,Sometimes,Definitely changing,Very worried,Strongly disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Strongly agree,False
352,43,post,2022-10-26 09:27:50,Sometimes,Probably not changing,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,True
353,41,post,2022-10-26 09:27:52,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,True
354,40,post,2022-10-26 09:27:54,Sometimes,Definitely changing,A little worried,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Neutral,True
355,42,post,2022-10-26 09:28:05,Sometimes,Probably changing,A little worried,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,True
356,45,post,2022-10-26 09:28:07,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,True
357,46,post,2022-10-26 09:28:40,Sometimes,Probably changing,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,True
358,53,post,2022-10-26 09:28:50,Rarely,Probably changing,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,True
359,44,post,2022-10-26 09:28:58,Sometimes,Definitely changing,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly agree,Disagree,True
360,47,post,2022-10-26 09:29:14,Sometimes,Probably changing,A little worried,Disagree,Strongly disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,True
361,52,post,2022-10-26 09:29:16,Often,Probably changing,Not worried at all,Disagree,Neutral,Agree,Strongly agree,Disagree,Agree,Agree,Neutral,Neutral,True
362,51,post,2022-10-26 09:29:44,Rarely,Probably changing,A little worried,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Agree,True
363,56,post,2022-10-26 09:29:45,Rarely,Probably changing,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,True
364,48,post,2022-10-26 09:29:57,Often,Definitely changing,A little worried,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,True
365,50,post,2022-10-26 09:30:10,Sometimes,Maybe changing,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly disagree,True
366,49,post,2022-10-26 09:30:44,Very often,Definitely changing,A little worried,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,True
367,57,post,2022-10-26 09:31:00,Sometimes,Probably changing,A little worried,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,True
368,55,post,2022-10-26 09:31:03,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Disagree,True
369,54,post,2022-10-26 09:31:19,Sometimes,Definitely changing,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly disagree,True
370,58,post,2022-10-26 12:04:59,Often,Definitely changing,Very worried,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,True
371,61,post,2022-10-26 12:04:59,Sometimes,Definitely changing,Neutral,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,True
372,63,post,2022-10-26 12:05:00,Often,Definitely changing,A little worried,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,True
373,60,post,2022-10-26 12:05:01,Often,Probably changing,Neutral,Strongly disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,True
374,59,post,2022-10-26 12:05:08,Very often,Definitely changing,Very worried,Strongly disagree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,True
375,65,post,2022-10-26 12:05:12,Often,Probably changing,A little worried,Strongly disagree,Neutral,Neutral,Agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,True
376,64,post,2022-10-26 12:05:31,Often,Definitely changing,A little worried,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,True
377,67,post,2022-10-26 12:05:35,Rarely,Definitely changing,Not worried at all,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,True
378,62,post,2022-10-26 12:05:42,Rarely,Maybe changing,Neutral,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,True
379,66,post,2022-10-26 12:06:11,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,True
380,68,post,2022-10-26 12:07:34,Often,Definitely changing,Neutral,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,True
381,69,post,2022-10-26 12:07:37,Sometimes,Probably changing,A little worried,Disagree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,True
382,70,post,2022-10-26 12:08:19,Often,Maybe changing,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,True
383,71,post,2022-10-27 15:07:26,All the time,Definitely changing,Very worried,Strongly disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,True
384,74,post,2022-11-08 09:24:27,Often,Probably not changing,A little worried,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,True
385,79,post,2022-11-08 09:25:05,Rarely,Maybe changing,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,True
386,80,post,2022-11-08 09:25:12,Sometimes,Probably changing,A little worried,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,True
387,75,post,2022-11-08 09:25:19,Often,Definitely changing,Very worried,Neutral,Strongly disagree,Disagree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,True
388,81,post,2022-11-08 09:25:19,Never,Maybe changing,Not worried at all,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,True
389,77,post,2022-11-08 09:25:21,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,True
390,78,post,2022-11-08 09:25:21,Never,Probably changing,A little worried,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,True
391,82,post,2022-11-08 09:25:21,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,True
392,76,post,2022-11-08 09:25:25,Often,Definitely changing,Very worried,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,True
393,85,post,2022-11-08 09:25:34,Rarely,Probably changing,Not worried at all,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Neutral,Neutral,Disagree,True
394,89,post,2022-11-08 09:25:36,Sometimes,Definitely changing,A little worried,Disagree,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,Neutral,True
395,84,post,2022-11-08 09:25:45,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Agree,True
396,86,post,2022-11-08 09:25:48,Sometimes,Definitely changing,Not worried at all,Strongly disagree,Disagree,Strongly disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,True
397,83,post,2022-11-08 09:26:01,Never,Definitely changing,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Strongly agree,True
398,87,post,2022-11-08 09:29:49,Rarely,Probably not changing,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,True
399,88,post,2022-11-08 09:30:02,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,True
400,90,post,2022-11-08 09:31:44,Rarely,Definitely changing,A little worried,Neutral,Strongly disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,True
401,91,post,2022-11-08 09:34:24,Often,Definitely changing,A little worried,Disagree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,True
402,93,post,2022-11-08 16:02:38,Often,Definitely changing,Very worried,Agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,False
403,92,post,2022-11-08 16:02:50,Sometimes,Maybe changing,Neutral,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Agree,False
404,94,post,2022-11-08 16:03:58,Sometimes,Probably changing,A little worried,Strongly disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,False
405,95,post,2022-11-08 16:04:38,Very often,Definitely changing,Very worried,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,False
406,96,post,2022-11-08 16:06:59,Sometimes,Maybe changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
407,97,post,2022-11-08 16:08:36,Sometimes,Definitely changing,A little worried,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,False
408,100,post,2022-11-08 16:09:46,Sometimes,Definitely changing,A little worried,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,False
409,99,post,2022-11-08 16:09:57,Often,Definitely changing,A little worried,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,False
410,98,post,2022-11-08 16:09:58,Sometimes,Definitely changing,Neutral,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,False
411,103,post,2022-11-09 10:31:56,Often,Definitely changing,A little worried,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,False
412,101,post,2022-11-09 10:32:07,Often,Definitely changing,Very worried,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,False
413,105,post,2022-11-09 10:32:15,Rarely,Probably changing,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,False
414,104,post,2022-11-09 10:32:47,Often,Definitely changing,A little worried,Disagree,Neutral,Neutral,Agree,Disagree,Strongly agree,Agree,Neutral,Disagree,False
415,102,post,2022-11-09 10:33:57,Sometimes,Definitely changing,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
416,111,post,2022-11-09 10:34:54,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Neutral,False
417,108,post,2022-11-09 10:35:11,Sometimes,Definitely changing,Very worried,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
418,107,post,2022-11-09 10:35:36,Never,Maybe changing,Not worried at all,Neutral,Strongly disagree,Disagree,Neutral,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,False
419,106,post,2022-11-09 10:36:08,Sometimes,Definitely changing,A little worried,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,False
420,112,post,2022-11-09 10:37:05,Very often,Definitely changing,Very worried,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,False
421,109,post,2022-11-09 10:37:09,Often,Definitely changing,A little worried,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,False
422,110,post,2022-11-09 10:37:35,Often,Definitely changing,A little worried,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,False
423,113,post,2022-11-15 10:40:44,Never,Probably changing,Not worried at all,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,True
424,117,post,2022-11-15 10:41:01,Sometimes,Definitely changing,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,True
425,120,post,2022-11-15 10:41:20,Rarely,Definitely changing,A little worried,Disagree,Disagree,Strongly disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,True
426,115,post,2022-11-15 10:41:23,Rarely,Probably changing,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,True
427,114,post,2022-11-15 10:41:24,Sometimes,Definitely changing,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,True
428,118,post,2022-11-15 10:41:26,Never,Probably not changing,Not worried at all,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Strongly disagree,True
429,116,post,2022-11-15 10:41:27,Never,Probably changing,Neutral,Strongly disagree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Agree,True
430,119,post,2022-11-15 10:41:50,Very often,Definitely changing,Extremely worried,Strongly disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,True
431,121,post,2022-11-15 10:42:13,Rarely,Definitely changing,Not worried at all,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,True
432,122,post,2022-11-15 10:43:01,Often,Definitely changing,A little worried,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,True
433,123,post,2022-11-15 10:43:39,Never,Definitely not changing,Climate change isn't happening,Agree,Disagree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Agree,Disagree,Strongly agree,True
434,127,post,2022-11-15 10:43:56,Often,Definitely changing,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Neutral,True
435,124,post,2022-11-15 10:45:21,Rarely,Probably not changing,Climate change isn't happening,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,True
436,125,post,2022-11-15 10:47:35,Rarely,Definitely changing,Neutral,Disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,True
437,126,post,2022-11-15 10:47:52,Very often,Definitely changing,Neutral,Disagree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,True
438,128,post,2022-11-15 10:48:22,Often,Definitely changing,A little worried,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,True
439,129,post,2022-11-17 14:09:08,Sometimes,Maybe changing,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,True
440,130,post,2022-11-17 14:18:34,All the time,Definitely changing,Extremely worried,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,True
441,131,post,2022-11-17 14:20:44,Sometimes,Maybe changing,Climate change isn't happening,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,True
442,136,post,2022-11-17 14:21:43,Never,Definitely not changing,Not worried at all,Strongly disagree,Neutral,Agree,Disagree,Strongly disagree,Disagree,Strongly agree,Neutral,Agree,True
443,132,post,2022-11-17 14:22:43,Rarely,Definitely changing,A little worried,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
444,134,post,2022-11-17 14:23:39,Often,Definitely changing,A little worried,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,True
445,133,post,2022-11-17 14:23:40,Sometimes,Definitely changing,Neutral,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,True
446,138,post,2022-11-17 14:23:40,Sometimes,Definitely changing,A little worried,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Neutral,True
447,135,post,2022-11-17 14:23:41,Sometimes,Definitely changing,Very worried,Disagree,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,True
448,139,post,2022-11-17 14:24:11,Sometimes,Probably changing,Very worried,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,True
449,141,post,2022-11-17 14:25:12,Very often,Maybe changing,A little worried,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
450,137,post,2022-11-17 14:25:20,All the time,Definitely changing,A little worried,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Agree,Neutral,Agree,True
451,140,post,2022-11-17 14:25:50,Sometimes,Definitely changing,A little worried,Agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,True
452,142,post,2022-11-17 14:27:10,Rarely,Definitely changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
453,143,post,2022-11-17 14:27:46,Sometimes,Definitely changing,Not worried at all,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Strongly agree,True
454,144,post,2022-11-22 09:32:48,Rarely,Definitely changing,A little worried,Strongly disagree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Strongly agree,True
455,145,post,2022-11-22 09:33:52,Rarely,Probably changing,Not worried at all,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,True
456,147,post,2022-11-22 09:34:13,Rarely,Probably changing,Not worried at all,Disagree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,True
457,149,post,2022-11-22 09:35:01,Never,Maybe changing,A little worried,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Disagree,True
458,146,post,2022-11-22 09:35:02,Never,Probably changing,A little worried,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,True
459,150,post,2022-11-22 09:35:03,Sometimes,Probably changing,Not worried at all,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,True
460,153,post,2022-11-22 09:36:04,Rarely,Definitely changing,Not worried at all,Disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Agree,Strongly disagree,True
461,148,post,2022-11-22 09:36:10,Never,Maybe changing,Not worried at all,Neutral,Disagree,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Neutral,Neutral,True
462,151,post,2022-11-22 09:38:06,Sometimes,Maybe changing,A little worried,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,True
463,152,post,2022-11-22 09:38:41,Never,Definitely changing,Neutral,Disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,True
464,154,post,2022-11-22 09:38:45,Often,Definitely changing,A little worried,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,True
465,155,post,2022-11-22 09:41:47,Sometimes,Definitely changing,A little worried,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,True
466,156,post,2022-11-22 09:44:49,Sometimes,Probably changing,A little worried,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,True
467,157,post,2022-11-22 10:08:47,Never,Maybe changing,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,True
468,158,post,2022-11-22 10:21:15,Rarely,Definitely changing,A little worried,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,True
469,159,post,2022-11-22 10:31:26,Sometimes,Probably changing,Neutral,Strongly disagree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,True
470,160,post,2022-11-22 10:40:20,Sometimes,Probably changing,A little worried,Strongly disagree,Neutral,Disagree,Disagree,Disagree,Strongly agree,Agree,Neutral,Disagree,True
471,161,post,2022-11-22 10:43:10,Sometimes,Definitely not changing,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Disagree,True
472,163,post,2022-11-22 10:43:36,Often,Definitely changing,A little worried,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,True
473,164,post,2022-11-22 10:43:44,Sometimes,Definitely changing,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,True
474,165,post,2022-11-22 10:43:56,Never,Maybe changing,Not worried at all,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,True
475,162,post,2022-11-22 10:43:57,Rarely,Probably changing,Neutral,Agree,Strongly disagree,Neutral,Neutral,Strongly agree,Agree,Agree,Disagree,Neutral,True
476,166,post,2022-11-22 10:44:22,Rarely,Definitely changing,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly agree,Disagree,Strongly agree,Neutral,True
477,167,post,2022-11-22 10:46:04,Sometimes,Definitely changing,A little worried,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,True
478,168,post,2022-11-22 10:46:31,Sometimes,Definitely changing,A little worried,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Agree,True
479,169,post,2022-11-22 14:31:18,Never,Maybe changing,Neutral,Strongly disagree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,True
480,172,post,2022-11-22 14:32:46,Rarely,Probably changing,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,True
481,170,post,2022-11-22 14:33:41,Never,Maybe changing,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True
